Number of Carbons,Number of Fluorines,Contains N,Contains O,Contains S,MONOISOTOPIC_MASS,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
7,11,0,1,0,327.9957391,328.081,1.525,-49.856,0,3.85711,4.4472,83.927,0.00109421,0.16638,2.66817,506.785,3.2793,-17.5551,61.9688,0.000525095
5,6,0,1,0,207.9958983,208.059,1.585,3.613,0,5.45979,3.67522,111.349,0.000000674815,0.0741745,3.67749,58.998,2.81874,-7.85666,2.54641,0.618556
10,17,1,1,1,526.9847784,527.2,1.601,23.326,0,94.1611,4.951,196.012,0.000000000159552,2.86211,4.92044,333.651,6.79567,95.9994,0.00000502406,0.000000807215
4,6,0,1,0,182.0166337,182.065,1.333,-81.266,0,15.7189,7.57897,63.8575,0.00629917,0.193316,1.17854,125.429,1.69301,-70.8559,157.017,0.0187211
5,8,1,1,0,245.008689,245.072,1.526,61.87,0,2.07021,4.27558,141.771,0.00000000217761,0.0646495,4.50245,31.2978,2.11019,13.0461,0.0521909,0.045225
5,9,0,1,0,247.9883681,248.048,1.559,-7.833,0,78.7097,4.45077,49.994,0.00151606,0.266063,2.44226,243.453,2.30846,-46.446,2665.57,0.000106961
8,9,0,1,0,306.0302329,306.128,1.477,-68.632,0,16.4135,4.4623,98.1044,0.00104835,0.167174,3.17278,327.281,3.09294,-0.979061,22.4931,0.0018891
8,17,0,1,1,499.9374938,500.13,1.85,15.158,0,5.90952,4.92469,218.522,0,2.66175,4.74771,354.431,5.60926,185.167,0.00000247722,0.000817049
6,7,0,1,0,228.038512,228.11,1.437,-48.855,0,5.37036,4.47223,119.825,0.0000000260682,0.116219,4.08394,128.081,2.3134,3.39006,16.9574,0.00230536
6,13,0,1,1,437.8997626,438.2,1.837,26.726,0,5.94164,4.45198,238.475,0.000000000193597,0.628332,4.27439,2303.42,0.397593,231.446,0.00000000819408,0.000610025
